id,squad,played90s,progcarryx90,progpassx90,goalsx90,assistsx90,expgoalsx90,expassistsx90,diffgoalx90,diffassistx90
1,Austria,4.3,20.23,42.79,1.15,1.15,1.17,0.98,-0.02,0.17
2,Belgium,5,19.6,40.2,1.6,1.2,1.18,0.81,0.42,0.39
3,Croatia,4.3,20.93,30.93,1.38,1.15,1.27,1.17,0.11,-0.02
4,"Czech Republic",5,16.8,35.8,1.2,0.8,1.23,0.94,-0.03,-0.14
5,Denmark,6.3,19.52,38.1,1.89,1.26,1.57,1.01,0.32,0.25
6,England,7.7,16.62,34.94,1.3,1.04,1.44,1.2,-0.14,-0.16
7,France,4.3,21.86,48.84,1.38,0.46,1.72,1.28,-0.34,-0.82
8,Germany,4,16.75,58.5,1,0.75,1.77,1.45,-0.77,-0.7
9,Hungary,3,7,16.67,1,1,0.48,0.43,0.52,0.57
10,Italy,8,19.38,41.12,1.5,1.13,1.64,1.39,-0.14,-0.26
11,Netherlands,4,21.75,46,2,1.25,2.15,1.5,-0.15,-0.25
12,Portugal,4,18.25,44.25,1.75,1,1.97,1.31,-0.22,-0.31
13,Scotland,3,9.67,32.33,0.33,0,1.3,1.05,-0.97,-1.05
14,Slovakia,3,11.67,24,0.33,0.33,0.34,0.28,-0.01,0.05
15,Spain,7,24.43,61.57,1.43,1.29,2.38,1.83,-0.95,-0.54
16,Switzerland,5.7,15.44,40.7,1.41,1.41,1.26,0.98,0.15,0.43
17,Türkiye,3,13.33,35,0.33,0.33,1.01,0.97,-0.68,-0.64
