id,squad,played90s,avgpossession,goalsx90,assistsx90,expgoalsx90,diffgoalx90
1,Austria,4.3,53.5,1.15,1.15,1.17,-0.02
2,Belgium,5,53.8,1.6,1.2,1.18,0.42
3,Croatia,4.3,50,1.38,1.15,1.27,0.11
4,"Czech Republic",5,48.2,1.2,0.8,1.23,-0.03
5,Denmark,6.3,53.3,1.89,1.26,1.57,0.32
6,England,7.7,50.9,1.3,1.04,1.44,-0.14
7,France,4.3,52.8,1.38,0.46,1.72,-0.34
8,Germany,4,61.8,1,0.75,1.77,-0.77
9,Hungary,3,30,1,1,0.48,0.52
10,Italy,8,54.7,1.5,1.13,1.64,-0.14
11,Netherlands,4,54.8,2,1.25,2.15,-0.15
12,Poland,3,49.3,1.33,1.33,1.55,-0.22
13,Portugal,4,54.3,1.75,1,1.97,-0.22
14,Scotland,3,43.7,0.33,0,1.3,-0.97
15,Slovakia,3,45,0.33,0.33,0.34,-0.01
16,Spain,7,72,1.43,1.29,2.38,-0.95
17,Switzerland,5.7,48,1.41,1.41,1.26,0.15
18,Türkiye,3,49,0.33,0.33,1.01,-0.68
19,Ukraine,5.3,48.4,1.13,1.13,1.17,-0.04
20,NULL,NULL,NULL,NULL,NULL,NULL,NULL
