id,squad,played90s,avgpossession,goalsx90,assistsx90,expgoalsx90,diffgoalx90
1,Albania,4,54.5,1,0.5,1.15,-0.15
2,Austria,6,43.5,1,1,1.08,-0.08
3,Belgium,6,62.3,1.83,1.83,1.82,0.01
4,Croatia,8.7,51.3,1.38,0.69,1.31,0.07
5,"Czech Republic",6,35,0.67,0.5,1.45,-0.78
6,Denmark,6,47.7,1.5,1.33,1.27,0.23
7,England,6,53.3,0.67,0.33,1.42,-0.75
8,France,6,57.7,0.83,0.67,1.55,-0.72
9,Georgia,6,52.2,2.33,1.67,1.55,0.78
10,Germany,6,65.7,1.83,1.17,2.35,-0.52
11,Hungary,6,38.5,1.17,1,1.38,-0.21
12,Italy,8,41.8,1.5,1.25,1.49,0.01
13,Netherlands,8.3,55.8,2.16,1.68,1.63,0.53
14,Poland,6,40.3,1,0.83,0.92,0.08
15,Portugal,6,50.7,1.83,1.83,1.8,0.03
16,Romania,6,49.3,1,1,1.43,-0.43
17,Scotland,6,59,1.83,1.5,1.72,0.11
18,Serbia,6,57.8,2.17,2.17,1.65,0.52
19,Slovakia,6,69.3,0.83,0.5,1.1,-0.27
20,Slovenia,6,41.3,1,0.83,1.02,-0.02
21,Spain,8.3,67.8,1.2,0.84,1.42,-0.22
22,Switzerland,6,43.7,1,0.83,1.12,-0.12
23,Türkiye,6,66.2,2.83,1.83,2.73,0.1
24,Ukraine,6,59.8,1.67,1.17,1.42,0.25
